fileName,identifier,title,author,publisher,epubVersion,epubStatus,noErrors,noWarnings,errors,warnings,wordCount
/media/johan/Elements1/ebooks-cb/ebook_cb-1498569995776-171108-0200/20150602093137_9789044965810.epub,Smaakmakers,Smaakmakers,Orlando Uitgevers,Orlando Uitgevers,2.0.1,Not well-formed,1,0,CSS-008,,121713
/media/johan/Elements1/ebooks-cb/ebook_cb-1498570080768-170722-0200/20150602093137_9789044970111.epub,9789044970111,Zafón Omnibus,Carlos Ruiz Zafón,Signatuur,2.0.1,Not well-formed,1,0,CSS-008,,403903
/media/johan/Elements1/ebooks-cb/ebook_cb-1500474511360-170722-0201/20150602103153_9789044963564.epub,9789044963564,De laatste winter,Ake Edwardson,A.W. Bruna Uitgevers,2.0.1,Not well-formed,1,0,CSS-008,,132899
