fileName,epubVersion,epubStatus,noErrors,noWarnings,errors,warnings,wordCount
./ebooks-cb/ebook_cb-1498569979392-170718-0200/20150602093137_9789044964653.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-005,OPF-003,0
./ebooks-cb/ebook_cb-1498570087424-170722-0200/20150602093137_9789044970807.epub,2.0.1,Well-formed,0,0,,,837
./ebooks-cb/ebook_cb-1500474489088-170726-0200/20150602103153_9789044969269.epub,2.0.1,Well-formed,0,1,,CSS-017,598
./ebooks-cb/ebook_cb-1500475877376-170801-0200/20150602113149_9789044971989.epub,2.0.1,Well-formed,0,0,,,912
./ebooks-cb/ebook_cb-1500475880448-170802-0200/20150602113149_9789044972023.epub,2.0.1,Well-formed,0,0,,,659
./ebooks-cb/ebook_cb-1500475969536-170805-0200/20150602113149_9789460400339.epub,2.0.1,Not well-formed,1,0,OPF-032,,0
./ebooks-cb/ebook_cb-1500476004608-170805-0201/20150602113149_9789460400483.epub,2.0.1,Well-formed,0,0,,,0
./ebooks-cb/ebook_cb-1500476013056-170805-0201/20150602113149_9789460400599.epub,2.0.1,Well-formed,0,0,,,114
./ebooks-cb/ebook_cb-1502273667584-170818-0200/20150604133122_9789021672601.epub,2.0.1,Well-formed,0,1,,CSS-017,240
./ebooks-cb/ebook_cb-1502273679616-170817-0200/20150604133122_9789021669403.epub,2.0.1,Well-formed,0,1,,CSS-017,190
./ebooks-cb/ebook_cb-1502273679872-170817-0200/20150604133122_9789021669410.epub,2.0.1,Well-formed,0,1,,CSS-017,192
./ebooks-cb/ebook_cb-1502273680128-170817-0200/20150604133122_9789021669427.epub,2.0.1,Well-formed,0,1,,CSS-017,186
./ebooks-cb/ebook_cb-1502273680384-170817-0200/20150604133122_9789021669434.epub,2.0.1,Well-formed,0,1,,CSS-017,184
./ebooks-cb/ebook_cb-1502273692672-170818-0200/20150604133122_9789021671277.epub,2.0.1,Well-formed,0,1,,CSS-017,0
./ebooks-cb/ebook_cb-1502273693440-170818-0200/20150604133122_9789021671482.epub,2.0.1,Well-formed,0,1,,CSS-017,340
./ebooks-cb/ebook_cb-1502273693952-170818-0200/20150604133122_9789021671505.epub,2.0.1,Well-formed,0,1,,CSS-017,448
./ebooks-cb/ebook_cb-1502273695232-170818-0200/20150604133122_9789021671673.epub,2.0.1,Well-formed,0,1,,CSS-017,176
./ebooks-cb/ebook_cb-1502273696512-170818-0200/20150604133122_9789021671925.epub,2.0.1,Well-formed,0,1,,CSS-017,206
./ebooks-cb/ebook_cb-1502273698560-170818-0200/20150604133122_9789021672335.epub,2.0.1,Well-formed,0,1,,CSS-017,240
./ebooks-cb/ebook_cb-1502273698816-170818-0201/20150604133122_9789021672427.epub,2.0.1,Well-formed,0,1,,CSS-017,468
./ebooks-cb/ebook_cb-1502273701120-170818-0201/20150604133122_9789021672779.epub,2.0.1,Well-formed,0,1,,CSS-017,274
./ebooks-cb/ebook_cb-1502273701376-170818-0201/20150604133122_9789021672823.epub,2.0.1,Well-formed,0,1,,CSS-017,174
./ebooks-cb/ebook_cb-1502273701632-170818-0201/20150604133122_9789021672908.epub,2.0.1,Well-formed,0,1,,CSS-017,184
./ebooks-cb/ebook_cb-1502273701888-170818-0201/20150604133122_9789021672922.epub,2.0.1,Well-formed,0,1,,CSS-017,182
./ebooks-cb/ebook_cb-1502273702144-170818-0201/20150604133122_9789021673127.epub,2.0.1,Well-formed,0,1,,CSS-017,248
./ebooks-cb/ebook_cb-1502273702400-170818-0201/20150604133122_9789021673134.epub,2.0.1,Well-formed,0,1,,CSS-017,262
./ebooks-cb/ebook_cb-1502273702912-170818-0201/20150604133122_9789021673240.epub,2.0.1,Well-formed,0,1,,CSS-017,210
./ebooks-cb/ebook_cb-1502273703168-170818-0201/20150604133122_9789021673257.epub,2.0.1,Well-formed,0,1,,CSS-017,182
./ebooks-cb/ebook_cb-1502273703424-170818-0201/20150604133122_9789021673288.epub,2.0.1,Well-formed,0,1,,CSS-017,420
./ebooks-cb/ebook_cb-1502273703936-170818-0201/20150604133122_9789021673448.epub,2.0.1,Well-formed,0,1,,CSS-017,218
./ebooks-cb/ebook_cb-1502281220608-170818-0201/20150604143108_9789021673561.epub,2.0.1,Well-formed,0,1,,CSS-017,596
./ebooks-cb/ebook_cb-1502281221632-170818-0201/20150604143108_9789021673738.epub,2.0.1,Well-formed,0,1,,CSS-017,252
./ebooks-cb/ebook_cb-1502281222144-170818-0201/20150604143108_9789021673752.epub,2.0.1,Well-formed,0,1,,CSS-017,312
