fileName,epubVersion,epubStatus,noErrors,noWarnings,errors,warnings,wordCount
./ebooks-cb/ebook_cb-1519736354048-180310-0202/20161227103034_9789023443766.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,23500
./ebooks-cb/ebook_cb-1519736354304-180310-0202/20161227103034_9789023443780.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,56496
./ebooks-cb/ebook_cb-1519736354816-180310-0202/20161227103034_9789023443803.epub,2.0.1,Not well-formed,1,1,RSC-008,OPF-003,91264
./ebooks-cb/ebook_cb-1519736355072-180310-0202/20161227103034_9789023443810.epub,2.0.1,Not well-formed,2,2,OPF-054 RSC-008,OPF-003 PKG-010,146721
./ebooks-cb/ebook_cb-1519736355840-180310-0202/20161227103034_9789023443834.epub,2.0.1,Not well-formed,1,1,RSC-008,OPF-003,32618
./ebooks-cb/ebook_cb-1519736356096-180310-0202/20161227103034_9789023443841.epub,2.0.1,Not well-formed,1,1,RSC-008,OPF-003,33122
./ebooks-cb/ebook_cb-1519736356352-180310-0202/20161227103034_9789023443865.epub,2.0.1,Not well-formed,2,2,OPF-054 RSC-008,OPF-003 PKG-010,111305
./ebooks-cb/ebook_cb-1519736357632-180310-0203/20161227103034_9789023443940.epub,2.0.1,Not well-formed,1,1,RSC-008,OPF-003,31830
./ebooks-cb/ebook_cb-1519736357888-180310-0203/20161227103034_9789023443964.epub,2.0.1,Well-formed,0,1,,PKG-010,96400
./ebooks-cb/ebook_cb-1519736358400-180313-0200/20161227103034_9789023443988.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,273704
./ebooks-cb/ebook_cb-1519736358912-180313-0200/20161227103034_9789023444060.epub,2.0.1,Not well-formed,2,2,OPF-054 RSC-008,OPF-003 PKG-010,136852
./ebooks-cb/ebook_cb-1519736359424-180313-0200/20161227103034_9789023444084.epub,2.0.1,Not well-formed,1,1,RSC-008,OPF-003,115164
./ebooks-cb/ebook_cb-1519736359680-180313-0200/20161227103034_9789023444091.epub,2.0.1,Not well-formed,1,2,RSC-008,OPF-003 PKG-010,99685
./ebooks-cb/ebook_cb-1519736359936-180313-0200/20161227103034_9789023444800.epub,2.0.1,Not well-formed,1,2,RSC-008,OPF-003 PKG-010,69951
./ebooks-cb/ebook_cb-1519736361216-180313-0200/20161227103034_9789023446163.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,81343
./ebooks-cb/ebook_cb-1519736361472-180313-0200/20161227103034_9789023446637.epub,2.0.1,Not well-formed,1,1,RSC-008,OPF-003,75606
./ebooks-cb/ebook_cb-1519736361728-180313-0200/20161227103034_9789023446699.epub,2.0.1,Well-formed,0,1,,PKG-010,152159
./ebooks-cb/ebook_cb-1519736361984-180313-0200/20161227103034_9789023447498.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,142902
./ebooks-cb/ebook_cb-1519736362240-180313-0200/20161227103034_9789023447696.epub,2.0.1,Well-formed,0,1,,PKG-010,73300
./ebooks-cb/ebook_cb-1519736362496-180313-0200/20161227103034_9789023447757.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,46034
./ebooks-cb/ebook_cb-1519736362752-180313-0200/20161227103034_9789023447931.epub,2.0.1,Not well-formed,1,1,RSC-008,OPF-003,27891
./ebooks-cb/ebook_cb-1519736363008-180313-0200/20161227103034_9789023448211.epub,2.0.1,Not well-formed,1,2,RSC-008,OPF-003 PKG-010,68509
./ebooks-cb/ebook_cb-1519736363264-180313-0200/20161227103034_9789023448235.epub,2.0.1,Not well-formed,1,2,RSC-008,OPF-003 PKG-010,110843
./ebooks-cb/ebook_cb-1519736363520-180313-0200/20161227103034_9789023448242.epub,2.0.1,Not well-formed,1,2,RSC-008,OPF-003 PKG-010,60928
./ebooks-cb/ebook_cb-1519736364032-180313-0200/20161227103034_9789023448266.epub,2.0.1,Well-formed,0,1,,PKG-010,33469
./ebooks-cb/ebook_cb-1519736364288-180313-0201/20161227103034_9789023448273.epub,2.0.1,Not well-formed,1,2,RSC-008,OPF-003 PKG-010,29170
./ebooks-cb/ebook_cb-1519736364800-180313-0201/20161227103034_9789023448297.epub,2.0.1,Not well-formed,1,1,RSC-008,OPF-003,109025
./ebooks-cb/ebook_cb-1519736365312-180313-0201/20161227103034_9789023448310.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,21937
./ebooks-cb/ebook_cb-1519736365568-180313-0201/20161227103034_9789023448334.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,151181
./ebooks-cb/ebook_cb-1519736365824-180313-0201/20161227103034_9789023448341.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,35616
./ebooks-cb/ebook_cb-1519736367104-180313-0201/20161227103034_9789023448419.epub,2.0.1,Not well-formed,1,1,RSC-008,OPF-003,118873
./ebooks-cb/ebook_cb-1519736367360-180313-0201/20161227103034_9789023448426.epub,2.0.1,Not well-formed,2,2,OPF-054 RSC-008,OPF-003 PKG-010,77643
./ebooks-cb/ebook_cb-1519736367872-180313-0201/20161227103034_9789023448440.epub,2.0.1,Not well-formed,1,2,RSC-008,OPF-003 PKG-010,79438
./ebooks-cb/ebook_cb-1519736368128-180313-0201/20161227103034_9789023448457.epub,2.0.1,Not well-formed,1,2,RSC-008,OPF-003 PKG-010,99524
./ebooks-cb/ebook_cb-1519736368896-180313-0201/20161227103034_9789023448471.epub,2.0.1,Not well-formed,2,2,OPF-054 RSC-008,OPF-003 PKG-010,19476
./ebooks-cb/ebook_cb-1519736369152-180313-0201/20161227103034_9789023448488.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,17485
./ebooks-cb/ebook_cb-1519736369408-180313-0201/20161227103034_9789023448501.epub,2.0.1,Not well-formed,2,2,OPF-054 RSC-008,OPF-003 PKG-010,119535
./ebooks-cb/ebook_cb-1519736369664-180313-0201/20161227103034_9789023448518.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,29398
./ebooks-cb/ebook_cb-1519736369920-180313-0201/20161227103034_9789023448525.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,1084
./ebooks-cb/ebook_cb-1519736370176-180313-0201/20161227103034_9789023448532.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,117480
./ebooks-cb/ebook_cb-1519736370432-180313-0201/20161227103034_9789023448549.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,27917
./ebooks-cb/ebook_cb-1519736370688-180313-0201/20161227103034_9789023448556.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,139018
./ebooks-cb/ebook_cb-1519736371200-180313-0201/20161227103034_9789023448570.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,75732
./ebooks-cb/ebook_cb-1519736371456-180313-0201/20161227103034_9789023448587.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,34762
./ebooks-cb/ebook_cb-1519736372224-180313-0201/20161227103034_9789023448617.epub,2.0.1,Not well-formed,2,2,OPF-054 RSC-008,OPF-003 PKG-010,56842
./ebooks-cb/ebook_cb-1519736372480-180313-0201/20161227103034_9789023448624.epub,2.0.1,Not well-formed,1,1,RSC-008,OPF-003,54445
./ebooks-cb/ebook_cb-1519736372992-180313-0201/20161227103034_9789023448648.epub,2.0.1,Well-formed,0,1,,PKG-010,54766
./ebooks-cb/ebook_cb-1519736373760-180313-0201/20161227103034_9789023448679.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,73385
./ebooks-cb/ebook_cb-1519736374528-180313-0202/20161227103034_9789023448716.epub,2.0.1,Not well-formed,1,1,RSC-008,OPF-003,90121
./ebooks-cb/ebook_cb-1519736374784-180313-0202/20161227103034_9789023448730.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,95189
./ebooks-cb/ebook_cb-1519736375040-180313-0202/20161227103034_9789023448747.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,41642
./ebooks-cb/ebook_cb-1519736376064-180313-0202/20161227103034_9789023448785.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,47393
./ebooks-cb/ebook_cb-1519736376320-180313-0202/20161227103034_9789023448792.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,160739
./ebooks-cb/ebook_cb-1519736377088-180313-0202/20161227103034_9789023448822.epub,2.0.1,Not well-formed,1,2,RSC-008,OPF-003 PKG-010,105653
./ebooks-cb/ebook_cb-1519736377344-180313-0202/20161227103034_9789023448839.epub,2.0.1,Well-formed,0,1,,PKG-010,117792
./ebooks-cb/ebook_cb-1519736377600-180313-0202/20161227103034_9789023448846.epub,2.0.1,Not well-formed,1,1,RSC-008,OPF-003,102651
./ebooks-cb/ebook_cb-1519736377856-180313-0202/20161227103034_9789023448853.epub,2.0.1,Not well-formed,1,1,RSC-008,OPF-003,98652
./ebooks-cb/ebook_cb-1519736378112-180313-0202/20161227103034_9789023448860.epub,2.0.1,Not well-formed,1,1,RSC-008,OPF-003,141949
./ebooks-cb/ebook_cb-1519736379392-180313-0202/20161227103034_9789023448914.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,62161
./ebooks-cb/ebook_cb-1519736379648-180313-0202/20161227103034_9789023448945.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,50713
./ebooks-cb/ebook_cb-1519736380416-180313-0202/20161227103034_9789023448976.epub,2.0.1,Not well-formed,2,2,OPF-054 RSC-008,OPF-003 PKG-010,81700
./ebooks-cb/ebook_cb-1519736380672-180313-0202/20161227103034_9789023448983.epub,2.0.1,Not well-formed,2,1,OPF-054 RSC-008,OPF-003,122014
./ebooks-cb/ebook_cb-1519736381184-180313-0202/20161227103034_9789023449010.epub,2.0.1,Not well-formed,2,2,OPF-054 RSC-008,OPF-003 PKG-010,35948
./ebooks-cb/ebook_cb-1519736382208-180313-0202/20161227103034_9789023449058.epub,2.0.1,Not well-formed,2,2,OPF-054 RSC-008,OPF-003 PKG-010,87754
./ebooks-cb/ebook_cb-1519736382464-180313-0202/20161227103034_9789023449065.epub,2.0.1,Not well-formed,2,2,OPF-054 RSC-008,OPF-003 PKG-010,65837
./ebooks-cb/ebook_cb-1519736382720-180313-0202/20161227103034_9789023449072.epub,2.0.1,Well-formed,0,1,,PKG-010,72421
