fileName,identifier,title,author,publisher,epubVersion,epubStatus,noErrors,noWarnings,errors,warnings,wordCount
./samples/Alice's_Adventures_in_Wonderland_1.epub,7e824858-f120-11eb-9a03-0242ac130003,Alice's Adventures in Wonderland 1,['Lewis Carroll'],Wikisource,3.2,False,1,0,NCX-001,,27036
./samples/Max_Havelaar_1.epub,mult001maxh01,Max Havelaar of de koffiveilingen der Nederlandsche Handelmaatschappy 1,['Multatuli'],dbnl,2.0.1,False,3,0,OPF-032 RSC-005 RSC-012,,125528
./samples/Lotgevallen_van_Ferdinand_Huyck_2.epub,e6ae2224-f09b-11eb-9a03-0242ac130003,De lotgevallen van Ferdinand Huyck 2,['Jacob van Lennep'],dbnl / KB / Newgen Knowledgeworks,3.2,False,1,0,NCX-001,,218333
./samples/Open_a_GLAM_Lab_1.epub,urn:uuid:b1818c01-4aab-42ae-b9c8-2c21457156c8,Open a GLAM Lab 1,['International GLAM Labs Community'],Glamlabs.io,3.2,False,8,1,CSS-020 HTM-003 OPF-073 RSC-005 RSC-007 RSC-011 RSC-016 RSC-020,PKG-010,30439
./samples/Eva_1.epub,brug004eva_01,Eva 1,['Carry van Bruggen'],dbnl,2.0.1,False,5,2,OPF-031 OPF-032 RSC-005 RSC-008 RSC-012,OPF-003 OPF-055,68221
./samples/Alice_in_Wonderland_4.epub,urn:uuid:d692392c-3eaa-4b7c-a045-c6d6d51307b2,Alice’s Adventures in Wonderland,['Lewis Caroll'],KB National Library of the Netherlands,3.2,False,1,0,RSC-005,,25949
./samples/Alice's_Adventures_in_Wonderland_3.epub,,Alice's Adventures in Wonderland 3,"['Lewis Carroll, John Tenniel']",Wikisource / KB / Newgen Knowledgeworks,3.2,False,2,0,OPF-030 RSC-005,,27196
